x,y,id,ig_date,last_date
2259807.8,4712585.5,764205,2023-09-01 00:00:00,2023-09-01 00:00:00
2248688.2,4712122.0,764206,2007-06-12 00:00:00,2007-06-12 00:00:00
2257954.5,4712122.0,764207,2007-06-08 00:00:00,2007-06-08 00:00:00
2228766.0,4711659.0,764208,2001-07-04 00:00:00,2001-07-04 00:00:00
2252394.8,4711659.0,764209,2007-07-15 00:00:00,2007-07-15 00:00:00
2261661.0,4710269.0,764210,2009-06-22 00:00:00,2009-06-30 00:00:00
2260734.5,4710732.0,764211,2011-06-28 00:00:00,2011-06-29 00:00:00
2225059.5,4711195.5,764212,2016-08-03 00:00:00,2016-08-08 00:00:00
2235252.2,4710732.0,764213,2002-07-31 00:00:00,2002-08-02 00:00:00
2257491.2,4711195.5,764214,2007-06-03 00:00:00,2007-06-03 00:00:00
2258418.0,4710732.0,764215,2008-06-10 00:00:00,2008-06-14 00:00:00
2258881.2,4711195.5,764216,2007-06-17 00:00:00,2007-06-17 00:00:00
2235715.5,4710732.0,764217,2007-06-08 00:00:00,2007-06-10 00:00:00
2236642.2,4710732.0,764218,2001-07-05 00:00:00,2001-07-05 00:00:00
2238495.5,4710732.0,764219,2007-06-11 00:00:00,2007-06-11 00:00:00
2254711.5,4710732.0,764220,2007-06-08 00:00:00,2007-06-08 00:00:00
2260271.2,4709342.5,764221,2008-06-19 00:00:00,2008-06-19 00:00:00
2237105.5,4710269.0,764222,2007-07-19 00:00:00,2007-07-19 00:00:00
2257954.5,4708879.0,764223,2007-06-02 00:00:00,2007-06-09 00:00:00
2260271.2,4710269.0,764224,2009-06-30 00:00:00,2009-06-30 00:00:00
2238495.5,4708415.5,764225,2007-06-03 00:00:00,2007-06-13 00:00:00
2259344.5,4709805.5,764226,2007-06-11 00:00:00,2007-06-11 00:00:00
2237105.5,4709342.5,764227,2007-06-19 00:00:00,2007-06-19 00:00:00
2259807.8,4709342.5,764228,2008-06-10 00:00:00,2008-06-10 00:00:00
2259344.5,4708879.0,764229,2007-06-05 00:00:00,2007-06-05 00:00:00
2259807.8,4708879.0,764230,2007-06-13 00:00:00,2007-06-13 00:00:00
2238958.8,4707952.5,764231,2007-06-19 00:00:00,2007-06-19 00:00:00
2244981.8,4707952.5,764232,2018-08-03 00:00:00,2018-08-03 00:00:00
2228302.5,4707489.0,764233,2007-07-11 00:00:00,2007-07-13 00:00:00
2245908.5,4707025.5,764234,2001-09-13 00:00:00,2001-09-15 00:00:00
2228766.0,4707025.5,764235,2007-08-05 00:00:00,2007-08-05 00:00:00
2246835.0,4707025.5,764236,2001-09-22 00:00:00,2001-09-22 00:00:00
2268147.5,4707025.5,764237,2008-08-13 00:00:00,2008-08-13 00:00:00
2245445.2,4706562.5,764238,2001-09-23 00:00:00,2001-09-23 00:00:00
2265831.0,4706099.0,764239,2006-08-11 00:00:00,2006-08-11 00:00:00
2262124.5,4705172.5,764240,2007-07-17 00:00:00,2007-07-17 00:00:00
2248688.2,4704709.0,764241,2008-08-05 00:00:00,2008-08-05 00:00:00
2262124.5,4704709.0,764242,2007-07-01 00:00:00,2007-07-01 00:00:00
2264904.2,4704246.0,764243,2008-07-31 00:00:00,2008-08-04 00:00:00
2225522.8,4704246.0,764244,2001-07-04 00:00:00,2001-07-04 00:00:00
2263051.0,4703319.0,764246,2008-08-03 00:00:00,2008-08-03 00:00:00
2263514.2,4703319.0,764247,2007-07-01 00:00:00,2007-07-01 00:00:00
2225986.0,4701466.0,764248,2001-07-04 00:00:00,2001-07-04 00:00:00
2225986.0,4701466.0,764249,2001-08-14 00:00:00,2001-08-17 00:00:00
2225522.8,4701002.5,764250,2012-09-25 00:00:00,2012-09-25 00:00:00
2225522.8,4700539.5,764251,2001-07-04 00:00:00,2001-07-04 00:00:00
2227839.2,4700539.5,764252,2001-07-04 00:00:00,2001-07-07 00:00:00
2258418.0,4699612.5,764253,2001-07-04 00:00:00,2001-07-04 00:00:00
2261661.0,4698223.0,764255,2001-07-04 00:00:00,2001-07-04 00:00:00
2252858.2,4697759.5,764257,2008-09-01 00:00:00,2008-09-01 00:00:00
2225522.8,4695443.0,764258,2005-03-12 00:00:00,2005-03-12 00:00:00
2225059.5,4694053.0,764261,2012-09-21 00:00:00,2012-09-21 00:00:00
2233399.0,4688493.0,764262,2001-09-07 00:00:00,2001-09-13 00:00:00
2235715.5,4691273.0,764263,2008-08-02 00:00:00,2008-08-02 00:00:00
2237105.5,4689883.0,764264,2008-08-26 00:00:00,2008-08-30 00:00:00
